"vulnerabilityID","trivyCount","grypeCount"
"CVE-2023-29659",9,9
"CVE-2023-31081",9,9
"CVE-2023-31082",9,9
"CVE-2023-31083",9,9
"CVE-2023-31084",9,9
"CVE-2023-31085",9,9
"CVE-2023-3141",9,9
"CVE-2023-3212",9,9
"CVE-2023-32570",9,9
"CVE-2023-34256",9,9
"CVE-2016-10505",8,8
"CVE-2016-10506",8,8
"CVE-2016-9113",8,8
"CVE-2016-9114",8,8
"CVE-2016-9115",8,8
"CVE-2016-9116",8,8
"CVE-2016-9117",8,8
"CVE-2016-9580",8,8
"CVE-2016-9581",8,8
"CVE-2017-14988",8,8
"CVE-2017-17479",8,8
"CVE-2018-16375",8,8
"CVE-2018-16376",8,8
"CVE-2018-20846",8,8
"CVE-2019-6988",8,8
"CVE-2021-26945",8,8
"CVE-2021-3575",8,8
"CVE-2013-0340",6,6
"CVE-2019-1010204",6,6
"CVE-2020-35448",6,6
"CVE-2021-20197",6,6
"CVE-2021-20284",6,6
"CVE-2021-31239",6,6
"CVE-2021-3487",6,6
"CVE-2021-3530",6,6
"CVE-2021-3549",6,6
"CVE-2021-36690",6,6
"CVE-2021-3826",6,6
"CVE-2021-45078",6,6
"CVE-2021-46195",6,6
"CVE-2022-35737",6,6
"CVE-2022-38533",6,6
"CVE-2022-4285",6,6
"CVE-2023-1579",6,6
"CVE-2021-39537",5,5
"CVE-2022-29162",5,0
"CVE-2023-24593",5,5
"CVE-2023-25180",5,5
"CVE-2023-25809",5,0
"CVE-2023-27561",5,0
"CVE-2023-28642",5,0
"CVE-2023-29499",5,5
"CVE-2023-32611",5,5
"CVE-2023-32665",5,5
"CVE-2008-1687",4,4
"CVE-2008-1688",4,4
"CVE-2010-4651",4,4
"CVE-2015-20107",4,4
"CVE-2018-6951",4,4
"CVE-2018-6952",4,4
"CVE-2020-10735",4,4
"CVE-2020-27619",4,4
"CVE-2021-28861",4,4
"CVE-2021-29921",4,4
"CVE-2021-3426",4,4
"CVE-2021-3733",4,4
"CVE-2021-3737",4,4
"CVE-2021-4189",4,4
"CVE-2021-4217",4,4
"CVE-2021-45261",4,4
"CVE-2022-0391",4,4
"CVE-2022-3238",4,4
"CVE-2022-37454",4,4
"CVE-2022-42919",4,4
"CVE-2022-45061",4,4
"CVE-2022-45888",4,4
"CVE-2022-46908",4,4
"CVE-2022-47015",4,4
"CVE-2022-48425",4,4
"CVE-2022-48502",4,4
"CVE-2023-1193",4,4
"CVE-2023-1194",4,4
"CVE-2023-2176",4,4
"CVE-2023-23005",4,4
"CVE-2023-25193",4,4
"CVE-2023-28531",4,4
"CVE-2023-32250",4,4
"CVE-2023-32254",4,4
"CVE-2021-35331",3,3
"CVE-2021-46822",3,3
"CVE-2022-29526",3,0
"CVE-2022-31782",3,3
"CVE-2023-2731",3,3
"CVE-2023-30086",3,3
"CVE-2023-30774",3,3
"CVE-2023-30775",3,3
"CVE-2016-9797",2,2
"CVE-2016-9798",2,2
"CVE-2016-9799",2,2
"CVE-2016-9800",2,2
"CVE-2016-9801",2,2
"CVE-2016-9802",2,2
"CVE-2016-9803",2,2
"CVE-2016-9804",2,2
"CVE-2016-9917",2,2
"CVE-2016-9918",2,2
"CVE-2019-6129",2,2
"CVE-2021-20231",2,0
"CVE-2021-20232",2,0
"CVE-2021-29338",2,2
"CVE-2021-3580",2,0
"CVE-2021-3658",2,2
"CVE-2021-40528",2,0
"CVE-2021-41229",2,2
"CVE-2021-43400",2,2
"CVE-2022-0204",2,2
"CVE-2022-1122",2,2
"CVE-2022-35252",2,0
"CVE-2022-39176",2,2
"CVE-2022-39177",2,2
"CVE-2022-41862",2,2
"CVE-2022-43552",2,0
"CVE-2023-0286",2,0
"CVE-2023-2253",2,0
"CVE-2023-23916",2,0
"CVE-2023-26604",2,2
"CVE-2009-4487",1,1
"CVE-2013-0337",1,1
"CVE-2019-15794",1,1
"CVE-2020-0478",1,1
"CVE-2020-12362",1,1
"CVE-2020-12363",1,1
"CVE-2020-12364",1,1
"CVE-2020-24504",1,1
"CVE-2020-36130",1,1
"CVE-2020-36131",1,1
"CVE-2020-36133",1,1
"CVE-2020-36135",1,1
"CVE-2020-8911",1,0
"CVE-2020-8912",1,0
"CVE-2021-30473",1,1
"CVE-2021-30474",1,1
"CVE-2021-30475",1,1
"CVE-2021-32078",1,1
"CVE-2021-33061",1,1
"CVE-2021-36368",1,1
"CVE-2021-3669",1,1
"CVE-2021-39686",1,1
"CVE-2021-4023",1,1
"CVE-2021-4149",1,1
"CVE-2021-41617",1,1
"CVE-2021-4204",1,1
"CVE-2021-43519",1,1
"CVE-2021-43784",1,0
"CVE-2021-44879",1,1
"CVE-2022-0480",1,1
"CVE-2022-0500",1,1
"CVE-2022-1280",1,1
"CVE-2022-27672",1,1
"CVE-2022-3108",1,1
"CVE-2022-3114",1,1
"CVE-2022-33068",1,1
"CVE-2022-3344",1,1
"CVE-2022-3523",1,1
"CVE-2022-3566",1,1
"CVE-2022-3567",1,1
"CVE-2022-36227",1,0
"CVE-2022-38457",1,1
"CVE-2022-39189",1,1
"CVE-2022-40133",1,1
"CVE-2022-40716",1,1
"CVE-2022-41723",1,0
"CVE-2022-4269",1,1
"CVE-2022-4304",1,0
"CVE-2022-43945",1,1
"CVE-2022-4415",1,0
"CVE-2022-4450",1,0
"CVE-2023-0215",1,0
"CVE-2023-0361",1,0
"CVE-2023-0996",1,1
"CVE-2023-1075",1,1
"CVE-2023-1297",1,0
"CVE-2023-1380",1,1
"CVE-2023-1667",1,1
"CVE-2023-2002",1,1
"CVE-2023-2007",1,1
"CVE-2023-2283",1,1
"CVE-2023-22995",1,1
"CVE-2023-23000",1,1
"CVE-2023-23003",1,1
"CVE-2023-23006",1,1
"CVE-2023-23931",1,0
"CVE-2023-26054",1,0
"CVE-2023-28840",1,0
"CVE-2023-28841",1,0
"CVE-2023-28842",1,0
"CVE-2023-3111",1,1
"GHSA-5cpq-8wj7-hf2v",1,1
"CVE-1999-0236",0,1
"CVE-1999-0678",0,1
"CVE-1999-1237",0,1
"CVE-1999-1412",0,1
"CVE-2007-0086",0,1
"CVE-2007-0450",0,1
"CVE-2007-4559",0,1
"CVE-2018-20225",0,2
"CVE-2020-29509",0,1
"CVE-2020-29511",0,1
"CVE-2021-3572",0,1
"CVE-2021-41803",0,1
"CVE-2022-0543",0,1
"CVE-2022-3647",0,1
"CVE-2022-3734",0,1
"CVE-2022-40897",0,1
"CVE-2023-0845",0,1
"ELSA-2022-9221",0,2
"ELSA-2022-9263",0,2
"ELSA-2022-9564",0,2
"ELSA-2023-0837",0,1
"ELSA-2023-0842",0,1
"ELSA-2023-1140",0,2
"ELSA-2023-1405",0,1
"ELSA-2023-1569",0,1
"ELSA-2023-2963",0,2
"ELSA-2023-3018",0,1
"ELSA-2023-3106",0,2
"GHSA-232p-vwff-86mp",0,1
"GHSA-33pg-m6jh-5237",0,1
"GHSA-43fp-rhv2-5gv8",0,1
"GHSA-5xp3-jfq3-5q8x",0,1
"GHSA-6wrf-mxfj-pf5p",0,1
"GHSA-c57c-7hrj-6q6v",0,1
"GHSA-f3fp-gc8g-vw66",0,5
"GHSA-g2j6-57v7-gm8c",0,5
"GHSA-gc89-7gcr-jxqc",0,1
"GHSA-hqxw-f8mx-cpmw",0,2
"GHSA-m69r-9g56-7mv8",0,1
"GHSA-m8cg-xc2p-r3fc",0,5
"GHSA-p782-xgp4-8hr8",0,1
"GHSA-r9hx-vwmv-q579",0,1
"GHSA-v95c-p5hm-xq8f",0,1
"GHSA-vpvm-3wq2-2wvm",0,5
"GHSA-w7pp-m8wf-vj6r",0,1
"GHSA-x4qr-2fvf-3mr5",0,1
NA,0,0
